feature_set,feature_set_name,held_out_domain,base_model,base_model_name,meta_coefficient
conventional,Conventional,Balochistan,logistic_l2,Logistic Regression,0.7559476299385323
conventional,Conventional,Balochistan,random_forest,Random Forest,1.8180144192579852
conventional,Conventional,Balochistan,extra_trees,Extra Trees,0.44144337541139045
conventional,Conventional,Balochistan,xgboost,XGBoost,-0.7891151928836282
conventional,Conventional,Balochistan,lightgbm,LightGBM,0.20155319332066882
conventional,Conventional,Balochistan,catboost,CatBoost,1.0965714857149138
conventional,Conventional,Gilgit-Baltistan,logistic_l2,Logistic Regression,0.3561994132689492
conventional,Conventional,Gilgit-Baltistan,random_forest,Random Forest,1.8356032578985446
conventional,Conventional,Gilgit-Baltistan,extra_trees,Extra Trees,-0.25109691353427016
conventional,Conventional,Gilgit-Baltistan,xgboost,XGBoost,0.025965826617601922
conventional,Conventional,Gilgit-Baltistan,lightgbm,LightGBM,0.6577952384692536
conventional,Conventional,Gilgit-Baltistan,catboost,CatBoost,0.44226081969279024
conventional,Conventional,KPK-AJK,logistic_l2,Logistic Regression,0.23164032049269678
conventional,Conventional,KPK-AJK,random_forest,Random Forest,1.9009177342031809
conventional,Conventional,KPK-AJK,extra_trees,Extra Trees,0.12894973338624527
conventional,Conventional,KPK-AJK,xgboost,XGBoost,-0.08947350577552185
conventional,Conventional,KPK-AJK,lightgbm,LightGBM,0.6170303289030385
conventional,Conventional,KPK-AJK,catboost,CatBoost,0.43287901651452676
conventional,Conventional,Kashgar,logistic_l2,Logistic Regression,0.2180336674905226
conventional,Conventional,Kashgar,random_forest,Random Forest,2.415664858832089
conventional,Conventional,Kashgar,extra_trees,Extra Trees,-0.5539062560264623
conventional,Conventional,Kashgar,xgboost,XGBoost,0.24103479686118634
conventional,Conventional,Kashgar,lightgbm,LightGBM,0.47723617248979644
conventional,Conventional,Kashgar,catboost,CatBoost,0.32703150147660237
conventional,Conventional,Punjab-Sindh,logistic_l2,Logistic Regression,0.16726639574364488
